City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,touros,-5.1989,-35.4608,303.1,56,0,5.72,BR,1737737544
184,al muwayh,22.4333,41.7583,295.05,30,36,2.27,SA,1737737545
185,barra de santo antonio,-9.4047,-35.5072,301.28,64,16,4.25,BR,1737737547
186,alo,6.5486,4.2686,301.28,73,100,4.65,NG,1737737548
187,mana,5.6592,-53.7767,300.3,80,28,5.35,GF,1737737549
188,kone,-21.0595,164.8658,297.51,91,100,1.6,NC,1737737550
189,pawni,20.7833,79.6333,296.65,36,33,0.84,IN,1737737551
190,bokhan,53.153,103.7714,252.85,90,100,2.43,RU,1737737552
191,mweka,-4.85,21.5667,297.1,72,92,1.09,CD,1737737553
192,jiaozuo,35.2397,113.2331,276.83,92,100,1.76,CN,1737737555
193,zapolyarnyy,69.4154,30.8136,255.95,99,65,3.33,RU,1737737556
194,aripuana,-9.1667,-60.6333,300.31,71,100,0.99,BR,1737737557
195,braunlingen,47.9333,8.45,280.4,48,93,2.93,DE,1737737558
196,oamaru,-45.0784,170.9801,286.14,91,100,2.09,NZ,1737737559
197,arkhangel'sk,64.5401,40.5433,258.21,92,40,2.0,RU,1737737561
198,cabo san lucas,22.8909,-109.9124,293.99,70,20,1.03,MX,1737737160
199,antofagasta,-23.65,-70.4,294.75,73,74,4.87,CL,1737737563
200,east london,-33.0153,27.9116,297.67,83,40,3.09,ZA,1737737565
201,belmonte,-15.8631,-38.8828,302.13,64,11,3.91,BR,1737737566
202,nanning,22.8167,108.3167,292.4,87,19,4.81,CN,1737737568
203,yuzhno-kurilsk,44.0306,145.8556,273.19,97,100,8.91,RU,1737737569
204,khot'kovo,56.257,37.9954,268.14,91,20,2.51,RU,1737737570
205,cova figueira,14.8905,-24.2934,289.36,67,98,8.78,CV,1737737571
206,alegrete,-29.7831,-55.7919,308.99,37,84,5.1,BR,1737737572
207,mega,4.05,38.3,294.85,26,8,4.49,ET,1737737573
208,chadron,42.8294,-102.9999,272.57,60,0,4.63,US,1737737575
209,kalyandurg,14.5452,77.1055,295.43,51,1,4.9,IN,1737737576
210,tromso,69.6496,18.957,267.16,86,0,1.54,NO,1737737577
211,motygino,58.1831,94.7592,249.3,95,100,4.26,RU,1737737578
212,demre,36.2537,29.9777,284.32,88,78,2.12,TR,1737737579
213,forest,37.3638,-79.2897,275.91,47,40,4.63,US,1737737580
214,kodiak,57.79,-152.4072,278.88,75,100,7.2,US,1737737581
215,boa vista,2.8197,-60.6733,302.14,58,75,7.72,BR,1737737583
216,leava,-14.3,-178.1667,301.58,77,83,6.33,WF,1737737584
217,chernyshevsk,52.5243,117.0174,256.25,98,100,1.01,RU,1737737585
218,langzhong,31.5504,105.9938,281.55,88,100,2.6,CN,1737737586
219,punta arenas,-53.15,-70.9167,286.21,82,100,4.63,CL,1737737587
220,camarinas,43.1311,-9.1817,287.0,89,100,19.05,ES,1737737588
221,saipan,15.1355,145.701,300.54,72,0,4.12,MP,1737737589
222,balkanabat,39.5108,54.3671,281.13,43,95,0.72,TM,1737737591
223,mermoz boabab,14.7065,-17.4758,295.03,68,0,7.2,SN,1737737592
